c_resid,unit,nace_r2,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
FOR,NR,I551-I553,AT11	505918 	516688 	513895 	507848 	527348 	521879 	495412 	501565 	502969 	518829 	522056 	527571 
FOR,NR,I551-I553,AT12	1942680 	1980760 	1741057 	1676438 	1771896 	1801181 	1729372 	1773916 	1860235 	1916830 	2121039 	2252153 
FOR,NR,I551-I553,AT13	7647972 	8222986 	7865177 	8607153 	9288600 	9997560 	10360521 	10969436 	11591318 	11947962 	12291147 	12887502 
FOR,NR,I551-I553,AT21	6731038 	6937388 	6663419 	6333849 	6423175 	6611211 	6622462 	6333309 	6248224 	6473186 	6663926 	6753869 
FOR,NR,I551-I553,AT22	2977361 	3199026 	3132349 	3168546 	3270331 	3366057 	3467425 	3584865 	3742682 	4007842 	4280297 	4356037 
FOR,NR,I551-I553,AT31	2359797 	2395198 	2279656 	2211242 	2358201 	2492059 	2426146 	2373523 	2496376 	2583962 	2786483 	2978260 
FOR,NR,I551-I553,AT32	14568115 	15155432 	14481490 	14501380 	14474413 	15470590 	15842461 	15778960 	16227936 	17028613 	17562117 	18377446 
FOR,NR,I551-I553,AT33	29706560 	31067089 	30339467 	30321871 	30314513 	31303068 	31731102 	31223927 	31954518 	33004212 	33789444 	34933132 
FOR,NR,I551-I553,AT34	5079196 	5256389 	5208095 	5257649 	5218848 	5594826 	5758645 	5559595 	5680698 	5916936 	6027812 	6227814 
FOR,NR,I551-I553,BE10	4376635 	4506818 	4329926 	4497213 	4778267 	4823755 	5053359 	: 	5209964 	4137505 	5046234 	5503496 
FOR,NR,I551-I553,BE21	2039437 	2055954 	1847987 	2060304 	2093901 	2087903 	1960595 	: 	2168814 	2144255 	2205717 	2513677 
FOR,NR,I551-I553,BE22	1878372 	1839556 	1778993 	1870712 	1881983 	1502970 	1427066 	: 	1781060 	1779215 	1784578 	1934004 
FOR,NR,I551-I553,BE23	858171 	876550 	810832 	879511 	913321 	996163 	998045 	: 	1095377 	1008385 	1172377 	1301551 
FOR,NR,I551-I553,BE24	867455 	879590 	815425 	833445 	860882 	1009430 	1080128 	: 	1102862 	964376 	1071373 	1224173 
FOR,NR,I551-I553,BE25	3171228 	3111655 	2883578 	3068406 	3308377 	3197153 	3223534 	: 	4094131 	3749785 	4056456 	4460486 
FOR,NR,I551-I553,BE31	233131 	209831 	202942 	214942 	223354 	238525 	230045 	: 	253837 	209868 	236029 	240746 
FOR,NR,I551-I553,BE32	469818 	489647 	474964 	514243 	499237 	499501 	464850 	: 	605622 	585892 	583944 	632678 
FOR,NR,I551-I553,BE33	980380 	1020730 	954542 	919929 	935313 	896602 	934009 	: 	1060128 	1053240 	1086047 	1186257 
FOR,NR,I551-I553,BE34	1034116 	1024055 	1031966 	984562 	890335 	856273 	840959 	: 	1081975 	1043964 	998612 	1185375 
FOR,NR,I551-I553,BE35	362568 	346316 	319862 	326409 	338897 	324371 	299131 	: 	398317 	386709 	415476 	382240 
FOR,NR,I551-I553,BG31	47933 	49806 	54272 	48359 	52559 	62377 	64978 	56308 	58725 	61597 	73748 	59851 
FOR,NR,I551-I553,BG32	113540 	113574 	99130 	90028 	100502 	138152 	135139 	131344 	133315 	144400 	160826 	196159 
FOR,NR,I551-I553,BG33	4987890 	4764849 	3701928 	3963508 	4905178 	5253112 	5504284 	5064824 	4871101 	6056321 	6346560 	6604372 
FOR,NR,I551-I553,BG34	5052178 	5072571 	4142529 	4849373 	5735723 	6115444 	6620370 	6579840 	5970698 	7331191 	7632183 	7871157 
FOR,NR,I551-I553,BG41	1405107 	1417506 	1160329 	1307510 	1287315 	1477215 	1644138 	1799696 	1846131 	2039840 	2315248 	2410490 
FOR,NR,I551-I553,BG42	400138 	373148 	302734 	288334 	345446 	405140 	401517 	445786 	472311 	517317 	577002 	606896 
FOR,NR,I551-I553,CH01	: 	: 	: 	: 	: 	: 	: 	: 	: 	7292565 	: 	: 
FOR,NR,I551-I553,CH02	: 	: 	: 	: 	: 	: 	: 	: 	: 	4398056 	: 	: 
FOR,NR,I551-I553,CH03	: 	: 	: 	: 	: 	: 	: 	: 	: 	1328237 	: 	: 
FOR,NR,I551-I553,CH04	: 	: 	: 	: 	: 	: 	: 	: 	: 	3735093 u	: 	: 
FOR,NR,I551-I553,CH05	: 	: 	: 	: 	: 	: 	: 	: 	: 	3413321 	: 	: 
FOR,NR,I551-I553,CH06	: 	: 	: 	: 	: 	: 	: 	: 	: 	2661006 	: 	: 
FOR,NR,I551-I553,CH07	: 	: 	: 	: 	: 	: 	: 	: 	: 	1154461 	: 	: 
FOR,NR,I551-I553,CY00	13197004 	13208954 	11666665 	12448158 	13112596 	13488127 	13152589 	12884399 	12550320 	14504702 	15946809 	16247342 
FOR,NR,I551-I553,CZ01	11206954 	11070652 	10154505 	10947878 	11677323 	12937045 	13056931 	13381733 	14341089 	15017703 	16132282 	16133000 
